superficie_construida,superficie_parcela,habitaciones,banos,zona,localizacion,precio
,"24,43 ㏊",,,Central,Petra,1.100.000 EUR
247 ㎡,155 ㎡,3.0,3.0,Central,Biniamar,740.000 EUR
151 ㎡,155 ㎡,3.0,2.0,Central,Biniamar,690.000 EUR
178 ㎡,178 ㎡,4.0,2.0,Palma,Son Espanyolet,2.290.000 EUR
220 ㎡,,4.0,3.0,Norte,Pollensa,1.450.000 EUR
122 ㎡,60 ㎡,3.0,2.0,Norte,Pollensa,520.000 EUR
717 ㎡,3 ㏊,6.0,6.0,Sureste,Santanyí,7.800.000 EUR
263 ㎡,8.187 ㎡,4.0,3.0,Central,S'Aranjassa,2.495.000 EUR
471 ㎡,1.433 ㎡,4.0,4.0,Sureste,Cala d'Or,1.960.000 EUR
155 ㎡,412 ㎡,3.0,3.0,Sur,Bahía Grande / Bahía Azul,840.000 EUR
448 ㎡,"2,47 ㏊",7.0,5.0,Central,Petra,2.900.000 EUR
151 ㎡,,3.0,2.0,Oeste,Puerto de Sóller,1.380.000 EUR
,2.044 ㎡,,,Son Vida & Palma Alrededores,Son Vida,1.500.000 EUR
,2.561 ㎡,,,Son Vida & Palma Alrededores,Son Vida,1.400.000 EUR
539 ㎡,"2,1 ㏊",4.0,4.0,Central,Moscari,3.900.000 EUR
129 ㎡,,2.0,3.0,Palma,Son Espanyolet,675.000 EUR
246 ㎡,163 ㎡,3.0,3.0,Central,Caimari,1.080.000 EUR
446 ㎡,"1,26 ㏊",5.0,4.0,Central,Inca,1.800.000 EUR
62 ㎡,,1.0,1.0,Suroeste,Bendinat,595.000 EUR
,2.615 ㎡,,,Son Vida & Palma Alrededores,Son Vida,10.100.000 EUR
139 ㎡,,2.0,2.0,Son Vida & Palma Alrededores,Palma Golf,1.500.000 EUR
120 ㎡,,2.0,2.0,Son Vida & Palma Alrededores,Palma Golf,890.000 EUR
251 ㎡,,3.0,3.0,Son Vida & Palma Alrededores,Palma Golf,2.700.000 EUR
89 ㎡,,2.0,2.0,Suroeste,Port Andratx,1.590.000 EUR
183 ㎡,2.416 ㎡,4.0,2.0,Central,Alaró,775.000 EUR
180 ㎡,57 ㎡,3.0,1.0,Oeste,Fornalutx,690.000 EUR
263 ㎡,8.187 ㎡,4.0,3.0,Central,S'Aranjassa,2.495.000 EUR
200 ㎡,217 ㎡,3.0,2.0,Norte,Campanet,1.090.000 EUR
568 ㎡,"1,24 ㏊",2.0,2.0,Sureste,Santanyí,3.900.000 EUR
174 ㎡,128 ㎡,3.0,2.0,Palma,Son Espanyolet,2.250.000 EUR
190 ㎡,132 ㎡,3.0,2.0,Palma,Son Espanyolet,2.600.000 EUR
58 ㎡,,2.0,1.0,Palma,Palma Catedral - Casco Antiguo,575.000 EUR
58 ㎡,,1.0,1.0,Palma,Santa Catalina,490.000 EUR
140 ㎡,,4.0,2.0,Sur,Arenal,540.000 EUR
511 ㎡,292 ㎡,8.0,9.0,Oeste,Estellencs,2.600.000 EUR
140 ㎡,,3.0,2.0,Sur,Arenal,590.000 EUR
123 ㎡,,4.0,2.0,Palma,Palma City Centre,645.000 EUR
170 ㎡,,3.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.495.000 EUR
315 ㎡,1.827 ㎡,4.0,3.0,Noreste,Canyamel,1.290.000 EUR
97 ㎡,1.862 ㎡,2.0,2.0,Sur,Llucmajor,625.000 EUR
92 ㎡,,2.0,2.0,Suroeste,Port Andratx,1.580.000 EUR
464 ㎡,1.200 ㎡,5.0,6.0,Suroeste,Portals,10.900.000 EUR
642 ㎡,"2,84 ㏊",7.0,7.0,Central,Santa María,A Consultar
212 ㎡,178 ㎡,4.0,4.0,Oeste,Deià,1.900.000 EUR
164 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,3.800.000 EUR
73 ㎡,,1.0,1.0,Suroeste,Cas Catalá,575.000 EUR
430 ㎡,,5.0,2.0,Oeste,Sóller,1.425.000 EUR
265 ㎡,1.125 ㎡,3.0,3.0,Suroeste,Paguera,2.850.000 EUR
280 ㎡,3.267 ㎡,3.0,2.0,Central,Moscari,995.000 EUR
187 ㎡,,3.0,2.0,Palma,Palma Catedral - Casco Antiguo,3.950.000 EUR
120 ㎡,,3.0,3.0,Palma,Palma Catedral - Casco Antiguo,2.600.000 EUR
,612 ㎡,,,Norte,Puerto Alcudia - Alcanada,2.400.000 EUR
595 ㎡,"1,93 ㏊",5.0,5.0,Sureste,Cas Concos,4.500.000 EUR
144 ㎡,320 ㎡,3.0,3.0,Sur,Las Palmeras,859.000 EUR
143 ㎡,,3.0,2.0,Son Vida & Palma Alrededores,Palma Golf,1.250.000 EUR
2.814 ㎡,,6.0,3.0,Oeste,Deià,13.500.000 EUR
520 ㎡,,10.0,,Norte,Sa Pobla,2.500.000 EUR
666 ㎡,"6,82 ㏊",13.0,9.0,Noreste,Manacor,9.500.000 EUR
123 ㎡,,2.0,2.0,Suroeste,Cala Vinyes,650.000 EUR
259 ㎡,1.320 ㎡,4.0,4.0,Norte,Alcudia - Bonaire,2.795.000 EUR
500 ㎡,3 ㏊,5.0,4.0,Noreste,Manacor,3.975.000 EUR
126 ㎡,8.392 ㎡,3.0,2.0,Sur,Llucmajor,699.000 EUR
135 ㎡,,3.0,2.0,Palma,Palma Catedral - Casco Antiguo,895.000 EUR
310 ㎡,429 ㎡,4.0,3.0,Central,Consell,1.650.000 EUR
215 ㎡,"2,13 ㏊",4.0,3.0,Noreste,Manacor,1.290.000 EUR
130 ㎡,8.900 ㎡,3.0,2.0,Central,Costitx,680.000 EUR
400 ㎡,4.614 ㎡,3.0,3.0,Central,Costitx,1.480.000 EUR
130 ㎡,,3.0,4.0,Palma,Son Espanyolet,1.320.000 EUR
218 ㎡,480 ㎡,4.0,4.0,Noreste,Cala Ratjada,2.300.000 EUR
664 ㎡,1.718 ㎡,5.0,5.0,Suroeste,Sol de Mallorca,6.950.000 EUR
,"6,86 ㏊",,,Sureste,Campos,875.000 EUR
,"8,25 ㏊",,,Sureste,Campos,895.000 EUR
,"4,96 ㏊",,,Sureste,Campos,875.000 EUR
307 ㎡,720 ㎡,5.0,5.0,Sur,Cala Blava,1.295.000 EUR
202 ㎡,707 ㎡,5.0,2.0,Noreste,Cala Ratjada,1.350.000 EUR
216 ㎡,7.711 ㎡,4.0,4.0,Central,Sencelles,1.495.000 EUR
86 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,595.000 EUR
718 ㎡,"1,6 ㏊",5.0,5.0,Central,Montuiri,5.900.000 EUR
234 ㎡,3.432 ㎡,3.0,3.0,Central,Alaró,1.995.000 EUR
423 ㎡,1.655 ㎡,4.0,3.0,Central,Sencelles,1.300.000 EUR
112 ㎡,,2.0,1.0,Palma,Palma Catedral - Casco Antiguo,595.000 EUR
167 ㎡,,3.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.395.000 EUR
139 ㎡,254 ㎡,3.0,2.0,Central,Santa María,550.000 EUR
147 ㎡,2.723 ㎡,3.0,2.0,Central,Santa Eugenia,897.000 EUR
116 ㎡,,3.0,2.0,Son Vida & Palma Alrededores,Puigpunyent & Galilea,435.000 EUR
48 ㎡,,1.0,1.0,Palma,Palma Catedral - Casco Antiguo,385.000 EUR
